@RELATION MACDRecommendation

@ATTRIBUTE histogram1 real
@ATTRIBUTE histogram2 real
@ATTRIBUTE recommendation {buy,sell,stall}

@data
-2.4012771909226102E-4,-2.303657830188459E-4,stall
-2.303657830188459E-4,-2.642384578373557E-4,stall
-2.642384578373557E-4,-3.275497834059262E-4,stall
-3.275497834059262E-4,-2.859082170880206E-4,stall
-2.859082170880206E-4,-3.7593571638701426E-4,stall
-3.7593571638701426E-4,-4.1145022387839667E-4,stall
-4.1145022387839667E-4,-3.3277816352188596E-4,stall
-3.3277816352188596E-4,-2.4269954605195276E-4,stall
-2.4269954605195276E-4,-5.063811689228648E-4,stall
-5.063811689228648E-4,-5.34559675209847E-4,stall
-5.34559675209847E-4,-5.521945407438196E-4,stall
-5.521945407438196E-4,-4.831802948131149E-4,stall
-4.831802948131149E-4,-5.257458590449656E-4,stall
-5.257458590449656E-4,-5.282423496775637E-4,stall
-5.282423496775637E-4,-4.6216982179382365E-4,stall
-4.6216982179382365E-4,-2.7129049784760763E-4,stall
-2.7129049784760763E-4,-2.164272765468741E-4,stall
-2.164272765468741E-4,-8.582583311703715E-5,stall
-8.582583311703715E-5,1.4758524773634618E-5,buy
1.4758524773634618E-5,9.44132022551754E-5,stall
