timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.11 15:00',0.98158,0.98162,0.98148,0.98158,0.98352,0.985612,-0.001969,-0.000124,-0.000113
'2016.03.11 16:00',0.98267,0.98267,0.98255,0.98266,0.983388,0.985394,-0.001976,-0.00003,0.000036
'2016.03.13 17:00',0.98329,0.9833,0.98308,0.98325,0.983366,0.985235,-0.001955,0.000086,0.000159
'2016.03.13 18:00',0.98289,0.98323,0.98288,0.98308,0.983322,0.985075,-0.001914,0.000161,0.000203
'2016.03.13 19:00',0.98219,0.98233,0.98201,0.98201,0.98312,0.984848,-0.001877,0.000149,0.000144
'2016.03.13 20:00',0.98287,0.98305,0.98287,0.98291,0.983088,0.984705,-0.001825,0.000208,0.000241
'2016.03.13 21:00',0.9828,0.98286,0.98279,0.9828,0.983044,0.984564,-0.001764,0.000244,0.000258
'2016.03.13 22:00',0.98328,0.98328,0.98311,0.98313,0.983057,0.984457,-0.001691,0.000291,0.00031
'2016.03.13 23:00',0.98364,0.98364,0.9835,0.98353,0.98313,0.984389,-0.001605,0.000346,0.000366
'2016.03.14 00:00',0.98344,0.98344,0.98344,0.98344,0.983177,0.984318,-0.001512,0.000371,0.000367
'2016.03.14 01:00',0.98332,0.98348,0.98332,0.98343,0.983216,0.984253,-0.001417,0.000381,0.000363
'2016.03.14 02:00',0.98403,0.98403,0.98371,0.98379,0.983305,0.984218,-0.001316,0.000402,0.000397
'2016.03.14 03:00',0.98424,0.98429,0.98415,0.98427,0.983453,0.984222,-0.001207,0.000438,0.000432
'2016.03.14 04:00',0.98493,0.9855,0.98493,0.9855,0.983768,0.984317,-0.001075,0.000526,0.000536
'2016.03.14 05:00',0.98721,0.98727,0.98717,0.98718,0.984293,0.984529,-0.000907,0.000671,0.000726
'2016.03.14 06:00',0.9872,0.98729,0.98701,0.98729,0.984754,0.984733,-0.000722,0.000742,0.000733
'2016.03.14 07:00',0.98725,0.98742,0.98725,0.98727,0.985141,0.984921,-0.000533,0.000753,0.000713
'2016.03.14 08:00',0.98755,0.98755,0.98736,0.98745,0.985496,0.985109,-0.000349,0.000737,0.000675
'2016.03.14 09:00',0.98565,0.98585,0.98558,0.9857,0.985528,0.985152,-0.000204,0.00058,0.000433
'2016.03.14 10:00',0.98725,0.98743,0.98718,0.9872,0.985785,0.985304,-0.000067,0.000548,0.00049
'2016.03.14 11:00',0.98679,0.98703,0.9866,0.98701,0.985973,0.98543,0.000055,0.000488,0.000398
'2016.03.14 12:00',0.98595,0.9863,0.98566,0.98567,0.985927,0.985448,0.00014,0.000339,0.000224
'2016.03.14 13:00',0.98638,0.9865,0.98622,0.98626,0.985978,0.985508,0.000206,0.000264,0.000192
'2016.03.14 14:00',0.98736,0.98757,0.9873,0.98737,0.986192,0.985646,0.000274,0.000272,0.000252
'2016.03.14 15:00',0.98761,0.98761,0.98724,0.9874,0.986378,0.985776,0.000339,0.000263,0.000228
'2016.03.14 16:00',0.98756,0.98757,0.98743,0.98757,0.986561,0.985909,0.000402,0.00025,0.00021
'2016.03.14 17:00',0.98714,0.98714,0.98674,0.98707,0.98664,0.985995,0.00045,0.000194,0.000124
'2016.03.14 18:00',0.98719,0.98747,0.9871,0.98723,0.98673,0.986086,0.000489,0.000155,0.000107
'2016.03.14 19:00',0.98729,0.9873,0.98729,0.9873,0.986818,0.986176,0.00052,0.000122,0.000078
'2016.03.14 20:00',0.98709,0.98709,0.98704,0.98707,0.986857,0.986243,0.000539,0.000076,0.000026
