timestamp,open,high,low,close,EMA12,EMA26,EMA9,histogram1,histogram2
'2016.03.10 01:00',1.09813,1.09821,1.09755,1.09757,1.098438,1.098826,-0.000191,-0.000198,-0.000196
'2016.03.10 02:00',1.09737,1.09758,1.09697,1.09756,1.098303,1.098733,-0.000239,-0.000192,-0.000181
'2016.03.10 03:00',1.09678,1.09679,1.09632,1.09635,1.098002,1.098556,-0.000302,-0.000252,-0.000282
'2016.03.10 04:00',1.09634,1.09637,1.09618,1.0962,1.097725,1.098382,-0.000373,-0.000284,-0.000292
'2016.03.10 05:00',1.09671,1.09673,1.09655,1.09672,1.09757,1.098259,-0.000436,-0.000252,-0.000222
'2016.03.10 06:00',1.09781,1.09792,1.09777,1.09791,1.097623,1.098233,-0.000471,-0.00014,-0.000058
'2016.03.10 07:00',1.09739,1.09739,1.09728,1.09735,1.097581,1.098167,-0.000494,-0.000093,-0.000056
'2016.03.10 08:00',1.08457,1.08468,1.0836,1.08383,1.095465,1.097105,-0.000723,-0.000917,-0.001354
'2016.03.10 09:00',1.09204,1.09313,1.09204,1.09282,1.095058,1.096788,-0.000924,-0.000805,-0.000676
'2016.03.10 10:00',1.10414,1.10594,1.10414,1.1052,1.096618,1.097411,-0.000898,0.000106,0.000715
'2016.03.10 11:00',1.11463,1.11493,1.11378,1.11403,1.099297,1.098642,-0.000587,0.001243,0.001774
'2016.03.10 12:00',1.11591,1.11638,1.11578,1.11624,1.101904,1.099946,-0.000078,0.002036,0.002167
'2016.03.10 13:00',1.11938,1.11956,1.11922,1.11947,1.104606,1.101392,0.00058,0.002634,0.002438
'2016.03.10 14:00',1.11997,1.12023,1.11997,1.12021,1.107007,1.102786,0.001308,0.002913,0.002473
'2016.03.10 15:00',1.11984,1.11989,1.11958,1.11958,1.108941,1.10403,0.002029,0.002882,0.002336
'2016.03.10 16:00',1.11781,1.11781,1.1177,1.11772,1.110292,1.105044,0.002673,0.002575,0.002022
'2016.03.10 17:00',1.11768,1.11804,1.11768,1.11804,1.111484,1.106007,0.003234,0.002244,0.001774
'2016.03.10 18:00',1.11792,1.11848,1.11792,1.11826,1.112526,1.106914,0.003709,0.001903,0.001504
'2016.03.10 19:00',1.11762,1.11807,1.11762,1.11771,1.113324,1.107714,0.004089,0.00152,0.001154
'2016.03.10 20:00',1.11848,1.11884,1.1184,1.11869,1.114149,1.108527,0.004396,0.001226,0.000936
'2016.03.10 21:00',1.11843,1.11847,1.11832,1.11843,1.114808,1.109261,0.004626,0.000921,0.000638
'2016.03.10 22:00',1.11766,1.11767,1.11762,1.11762,1.115241,1.10988,0.004773,0.000588,0.000301
'2016.03.10 23:00',1.11666,1.11678,1.11666,1.11674,1.115471,1.110388,0.004835,0.000248,-0.000031
'2016.03.11 00:00',1.11676,1.11676,1.11668,1.11675,1.115668,1.110859,0.00483,-0.000021,-0.000252
'2016.03.11 01:00',1.11761,1.11814,1.11753,1.11799,1.116025,1.111387,0.004792,-0.000154,-0.000284
'2016.03.11 02:00',1.11627,1.11745,1.11627,1.11745,1.116244,1.111836,0.004715,-0.000307,-0.000434
